Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Ozzie Albies,0.5973333333333334,0.7892971,2B,3000000,Atlanta Braves,0.2630990333333333
P.J. Higgins,0.885,0.8359252,C,570500,Chicago Cubs,1.4652501314636284
Pablo Sandoval,0.67425,0.79239005,3B,1000000,Atlanta Braves,0.79239005
Paul DeJong,0.8290000000000001,0.8199542,SS,4166666,St. Louis Cardinals,0.19678903948624632
Paul Goldschmidt,0.765,0.81717086,1B,26000000,St. Louis Cardinals,0.031429648461538465
Pedro Severino,0.5713333333333334,0.78700703,C,1825000,Baltimore Orioles,0.4312367287671233
Rafael Devers,0.7069999999999999,0.8090309,3B,4575000,Boston Red Sox,0.17683735519125685
Raimel Tapia,0.6466666666666666,0.7973751,LF,1950000,Colorado Rockies,0.4089103076923077
Randal Grichuk,0.6920000000000001,0.7961281,RF,10333333,Toronto Blue Jays,0.0770446573240212
Rene Rivera,0.75125,0.80648863,C,570500,Washington Nationals,1.4136522874671342
Rhys Hoskins,0.6459999999999999,0.79716134,1B,4800000,Philadelphia Phillies,0.16607527916666667
Richie Martin,0.245,0.71566975,SS,570500,Baltimore Orioles,1.2544605609114812
Rob Refsnyder,0.6034999999999999,0.79150695,RF,570500,Minnesota Twins,1.3873916739702017
Robbie Grossman,0.624,0.79750043,LF,5000000,Detroit Tigers,0.159500086
Roberto Perez,0.7443333333333334,0.8139394,C,5500000,Cleveland Indians,0.14798898181818182
Robinson Chirinos,0.7045,0.8063805000000001,C,1000000,Chicago Cubs,0.8063805000000001
Roman Quinn,0.628,0.79317534,CF,578000,Philadelphia Phillies,1.3722756747404845
Ronald Guzman,0.6366666666666667,0.7906645999999999,1B,606000,Texas Rangers,1.3047270627062706
Rougned Odor,0.7800000000000001,0.81777453,2B,12333333,New York Yankees,0.06630604476502823
Ryan McMahon,0.6333333333333333,0.7915485999999999,2B,2375000,Colorado Rockies,0.33328362105263154
Salvador Perez,0.556,0.77960837,C,14200000,Kansas City Royals,0.05490199788732395
Sam Haggerty,0.6915,0.8013618,2B,574300,Seattle Mariners,1.3953714086714262
Shogo Akiyama,0.7494999999999999,0.8106726,CF,7000000,Cincinnati Reds,0.11581037142857142
Shohei Ohtani,0.6990000000000001,0.7900384,SP,3000000,Los Angeles Angels,0.26334613333333334
Starling Marte,0.6625000000000001,0.7879010000000001,CF,12500000,Miami Marlins,0.06303208
Stephen Piscotty,0.763,0.81401056,RF,7583333,Oakland Athletics,0.10734205658646402
Stephen Vogt,0.87125,0.8282296,C,3500000,Atlanta Braves,0.23663702857142857
Teoscar Hernandez,0.7066666666666667,0.805584,DH,4325000,Toronto Blue Jays,0.1862621965317919
Tim Anderson,0.5316666666666666,0.770263,SS,7250000,Chicago White Sox,0.10624317241379311
Tom Murphy,0.6739999999999999,0.7932975,C,875000,Seattle Mariners,0.9066257142857143
Tommy La Stella,0.7667499999999999,0.81615615,2B,2000000,San Francisco Giants,0.408078075
Tommy Pham,0.6333333333333333,0.8042694,LF,8900000,San Diego Padres,0.09036734831460674
Tony Kemp,0.7715,0.80096716,2B,1050000,Oakland Athletics,0.7628258666666666
Travis Shaw,0.636,0.7837029000000001,1B,1500000,Milwaukee Brewers,0.5224686000000001
Travis d'Arnaud,0.7605999999999999,0.8138308000000001,C,8000000,Atlanta Braves,0.10172885000000001
Trea Turner,0.5233333333333333,0.78669506,SS,13000000,Washington Nationals,0.060515004615384616
Trevor Story,0.6409999999999999,0.7944975999999999,SS,18500000,Colorado Rockies,0.04294581621621621
Trey Mancini,0.675,0.78826356,DH,4750000,Baltimore Orioles,0.16595022315789473
Tucker Barnhart,0.5876666666666667,0.7765373000000001,C,4187500,Cincinnati Reds,0.18544174328358212
Victor Caratini,0.7363333333333334,0.81539094,C,1300000,San Diego Padres,0.6272238
Wil Myers,0.662,0.7857081,LF,22500000,San Diego Padres,0.03492036
Will Smith,0.6563333333333333,0.7949048000000001,RP/CL,13000000,Atlanta Braves,0.06114652307692309
Willie Calhoun,0.785,0.8159116999999999,DH,593000,Texas Rangers,1.3759050590219224
Willson Contreras,0.5479999999999999,0.80437815,C,6650000,Chicago Cubs,0.12095912030075189
Wilmer Flores,0.6946666666666669,0.7925423,2B,3000000,San Francisco Giants,0.2641807666666667
Yadier Molina,0.6609999999999999,0.7897847,C,9000000,St. Louis Cardinals,0.08775385555555555
Yan Gomes,0.7929999999999999,0.8226882999999999,C,6000000,Washington Nationals,0.13711471666666664
Yasmani Grandal,0.5670000000000001,0.7753257,C,18250000,Chicago White Sox,0.0424836
Yonathan Daza,0.5425,0.7767371999999999,RF,572500,Colorado Rockies,1.3567462008733622
