Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Michael Conforto,0.6766666666666667,0.7823555,RF,12250000,New York Mets,0.06386575510204082
Michael Taylor,0.8343333333333334,0.8129261,CF,1750000,Kansas City Royals,0.4645292
Miguel Andujar,0.6476666666666667,0.7769191,3B,639000,New York Yankees,1.2158358372456965
Miguel Cabrera,0.7280000000000001,0.80476004,DH,30000000,Detroit Tigers,0.026825334666666666
Miguel Rojas,0.594,0.7864054,SS,5000000,Miami Marlins,0.15728108000000002
Miguel Sano,0.8456666666666667,0.8287576999999999,1B,11000000,Minnesota Twins,0.07534160909090908
Mike Moustakas,0.758,0.80337864,2B,14000000,Cincinnati Reds,0.057384188571428574
Mike Trout,0.7746666666666666,0.78967965,CF,37166667,Los Angeles Angels,0.02124698590809878
Mike Zunino,0.6803333333333335,0.7780093000000001,C,2000000,Tampa Bay Rays,0.38900465000000006
Mitch Haniger,0.6005,0.7769191,RF,3010000,Seattle Mariners,0.25811265780730897
Mitch Moreland,0.7045,0.7930526999999999,1B,2250000,Oakland Athletics,0.35246786666666663
Mookie Betts,0.6003333333333334,0.7795408,RF,22500000,Los Angeles Dodgers,0.03464625777777778
Nelson Cruz,0.6637500000000001,0.7892598000000001,DH,13000000,Tampa Bay Rays,0.06071229230769231
Nick Ahmed,0.6946666666666667,0.8027913000000001,SS,8125000,Arizona Diamondbacks,0.09880508307692308
Nick Castellanos,0.78375,0.8197111999999999,RF,14075000,Cincinnati Reds,0.05823880639431615
Nick Madrigal,0.4955,0.7769191,2B,584000,Chicago White Sox,1.3303409246575342
Nick Senzel,0.8153333333333332,0.8322037,3B,580500,Cincinnati Reds,1.433598105081826
Niko Goodrum,0.6183333333333333,0.80357176,2B,2100000,Detroit Tigers,0.382653219047619
Odubel Herrera,0.74,0.79457617,CF,10350000,Philadelphia Phillies,0.07677064444444445
Omar Narvaez,0.6153333333333334,0.7876879,C,2500000,Milwaukee Brewers,0.31507516
Orlando Arcia,0.60475,0.785499,SS,2000000,Atlanta Braves,0.3927495
Ozzie Albies,0.5973333333333334,0.787404,2B,3000000,Atlanta Braves,0.262468
P.J. Higgins,0.885,0.8524360999999999,C,570500,Chicago Cubs,1.4941912357581069
Pablo Sandoval,0.67425,0.7970471,3B,1000000,Atlanta Braves,0.7970471
Paul DeJong,0.8290000000000001,0.80788606,SS,4166666,St. Louis Cardinals,0.19389268542282967
Paul Goldschmidt,0.765,0.8233322,1B,26000000,St. Louis Cardinals,0.03166662307692308
Pedro Severino,0.5713333333333334,0.77831304,C,1825000,Baltimore Orioles,0.426472898630137
Rafael Devers,0.7069999999999999,0.8042484999999999,3B,4575000,Boston Red Sox,0.17579202185792348
Raimel Tapia,0.6466666666666666,0.7829369,LF,1950000,Colorado Rockies,0.40150610256410263
Randal Grichuk,0.6920000000000001,0.7780307,RF,10333333,Toronto Blue Jays,0.07529329597720309
Rene Rivera,0.75125,0.81451494,C,570500,Washington Nationals,1.4277211919368975
Rhys Hoskins,0.6459999999999999,0.817695,1B,4800000,Philadelphia Phillies,0.170353125
Richie Martin,0.245,0.7769191,SS,570500,Baltimore Orioles,1.3618213847502192
Rob Refsnyder,0.6034999999999999,0.7794938,RF,570500,Minnesota Twins,1.3663344434706397
Robbie Grossman,0.624,0.7995379,LF,5000000,Detroit Tigers,0.15990758000000002
Roberto Perez,0.7443333333333334,0.80472064,C,5500000,Cleveland Indians,0.14631284363636363
Robinson Chirinos,0.7045,0.80671585,C,1000000,Chicago Cubs,0.80671585
Roman Quinn,0.628,0.7985739000000001,CF,578000,Philadelphia Phillies,1.3816157439446368
Ronald Guzman,0.6366666666666667,0.7769191,1B,606000,Texas Rangers,1.282044719471947
Rougned Odor,0.7800000000000001,0.8008196,2B,12333333,New York Yankees,0.06493132067381947
Ryan McMahon,0.6333333333333333,0.7995534000000001,2B,2375000,Colorado Rockies,0.3366540631578948
Salvador Perez,0.556,0.78564787,C,14200000,Kansas City Royals,0.055327314788732394
Sam Haggerty,0.6915,0.7898238000000001,2B,574300,Seattle Mariners,1.3752808636601082
Shogo Akiyama,0.7494999999999999,0.81123626,CF,7000000,Cincinnati Reds,0.11589089428571428
Shohei Ohtani,0.6990000000000001,0.79458034,SP,3000000,Los Angeles Angels,0.26486011333333337
Starling Marte,0.6625000000000001,0.7939098000000001,CF,12500000,Miami Marlins,0.063512784
Stephen Piscotty,0.763,0.7887938,RF,7583333,Oakland Athletics,0.10401676940733053
Stephen Vogt,0.87125,0.82235205,C,3500000,Atlanta Braves,0.23495772857142858
Teoscar Hernandez,0.7066666666666667,0.78253317,DH,4325000,Toronto Blue Jays,0.18093252485549133
Tim Anderson,0.5316666666666666,0.7769191,SS,7250000,Chicago White Sox,0.1071612551724138
Tom Murphy,0.6739999999999999,0.79632854,C,875000,Seattle Mariners,0.91008976
Tommy La Stella,0.7667499999999999,0.80602086,2B,2000000,San Francisco Giants,0.40301043
Tommy Pham,0.6333333333333333,0.7933425999999999,LF,8900000,San Diego Padres,0.08913961797752808
Tony Kemp,0.7715,0.79494226,2B,1050000,Oakland Athletics,0.7570878666666666
Travis Shaw,0.636,0.7849779,1B,1500000,Milwaukee Brewers,0.5233186
