Player,Real,Predicted
Kevin Kaczmarski,0.455,0.76869655
Kevin Kiermaier,0.761,0.8014803
Kevin Kramer,0.778,0.78063333
Kevin Newman,0.5503333333333332,0.7900111
Kevin Padlo,0.65,0.7769066
Kevin Pillar,0.506,0.77388716
Kevin Plawecki,0.7586666666666667,0.8051409
Khalil Lee,0.578,0.80788374
Khris Davis,0.5973333333333334,0.8057353
Kole Calhoun,0.731,0.82056385
Kolten Wong,0.7233333333333333,0.7912984
Kris Bryant,0.7079999999999999,0.77418953
Kris Negron,0.648,0.7939481
Kurt Suzuki,0.7076666666666666,0.7970863
Kyle Farmer,0.7713333333333333,0.78802735
Kyle Garlick,0.5823333333333334,0.8072796
Kyle Higashioka,0.5710000000000001,0.76248693
Kyle Isbel,0.715,0.7947604
Kyle Lewis,0.609,0.8188534
Kyle Schwarber,0.7473333333333333,0.8179329
Kyle Seager,0.6926666666666667,0.8180149
Kyle Tucker,0.5696666666666667,0.7728108
LaMonte Wade,0.6553333333333334,0.8073985
Lane Thomas,0.7983333333333333,0.783484
Lars Nootbaar,0.635,0.8100367
Leody Taveras,0.7255,0.7995994
Leonys Martin,0.708,0.80061126
Leury Garcia,0.7686666666666667,0.78951263
Lewin Diaz,0.768,0.81195116
Lewis Brinson,0.6463333333333333,0.7454365
Logan Forsythe,0.48749999999999993,0.77280957
Logan Morrison,0.6829999999999999,0.79246473
Lorenzo Cain,0.8959999999999999,0.7899148
Lourdes Gurriel,0.6649999999999999,0.75640774
Lucas Duda,0.519,0.73419946
Luis Alexander Basabe,0.544,0.7664661
Luis Arraez,0.7433333333333333,0.8133503
Luis Barrera,0.733,0.78572625
Luis Campusano,0.46199999999999997,0.7378477
Luis Garcia,0.646,0.80226743
Luis Gonzalez,0.573,0.7491177
Luis Guillorme,0.6343333333333333,0.773641
Luis Marte,0.669,0.7618204
Luis Rengifo,0.641,0.7818508
Luis Robert,0.6345000000000001,0.8076502
Luis Sardinas,1.185,0.8534503
Luis Torrens,0.5794999999999999,0.8062148
Luis Urias,0.644,0.7932596
Luke Maile,0.3825,0.7756748
Luke Raley,0.6759999999999999,0.78064996
Luke Voit,0.68375,0.79620826
Luke Williams,0.852,0.85451657
Mac Williamson,0.7929999999999999,0.7908186
Magneuris Sierra,0.6456666666666667,0.81127787
Maikel Franco,0.6326666666666666,0.7705583
Mallex Smith,0.713,0.8016645
Manny Machado,0.65,0.78024256
Manny Pina,0.7533333333333333,0.8227679
Manuel Margot,0.5153333333333333,0.77564585
Marcell Ozuna,0.638,0.7928242
Marco Hernandez,0.871,0.8317074
Marcus Semien,0.6286666666666667,0.7947588
Mario Feliciano,0.672,0.77592194
Mark Canha,0.621,0.7901261
Mark Mathias,0.225,0.7216826
Mark Payton,0.5574999999999999,0.7526046
Mark Reynolds,0.569,0.7452018
Mark Trumbo,0.616,0.7607325
Mark Zagunis,0.7095,0.8026959
Martin Maldonado,0.6896,0.8035461
Martin Prado,0.732,0.84651273
Marwin Gonzalez,0.7546666666666667,0.8070057
Mason Williams,0.5266666666666667,0.7708783
Matt Adams,0.781,0.81095034
Matt Beaty,0.673,0.8132287
Matt Carpenter,0.6926666666666668,0.8045289
Matt Chapman,0.6366666666666667,0.80249274
Matt Davidson,0.29100000000000004,0.71108735
Matt Duffy,0.7329999999999999,0.79184234
Matt Joyce,0.6786666666666666,0.79976016
Matt Kemp,0.6319999999999999,0.79462683
Matt Olson,0.6699999999999999,0.77433175
Matt Reynolds,0.802,0.81326103
Matt Skole,0.7915,0.82057494
Matt Thaiss,0.386,0.7588253
Matt Vierling,1.0,0.8573389
Matt Wieters,0.5645,0.7437123
Matt den Dekker,0.419,0.76533586
Mauricio Dubon,0.798,0.81650835
Max Kepler,0.7083333333333334,0.8021196
Max Moroff,0.8585,0.78830266
Max Muncy,0.71,0.79636973
Max Schrock,0.9025,0.82343477
Max Stassi,0.77525,0.78924406
Meibrys Viloria,0.47550000000000003,0.77341914
Melky Cabrera,0.858,0.7997746
Michael Brantley,0.6683333333333333,0.79368275
Michael Chavis,0.8013333333333333,0.8417519
Michael Conforto,0.6766666666666667,0.7648217
Michael Hermosillo,0.9075,0.8246428
Michael Perez,0.7399999999999999,0.7991867
Michael Reed,0.7040000000000001,0.8172376
Michael Taylor,0.8343333333333334,0.8201701
Mickey Moniak,0.735,0.8023176
Miguel Andujar,0.6476666666666667,0.8213535
Miguel Cabrera,0.7280000000000001,0.8111301
Miguel Gomez,0.634,0.76313895
Miguel Montero,0.7929999999999999,0.78143597
Miguel Rojas,0.594,0.7625215
Miguel Sano,0.8456666666666667,0.8031061
Mike Brosseau,0.7240000000000001,0.82232493
Mike Ford,0.816,0.83076787
Mike Freeman,0.7380000000000001,0.7801513
Mike Gerber,0.731,0.8278907
Mike Moustakas,0.758,0.7851237
Mike Tauchman,0.7497499999999999,0.8198159
Mike Trout,0.7746666666666666,0.80906194
Mike Yastrzemski,0.7313333333333333,0.77849054
